global_step,correct,similar,incorrect,train_loss,eval_loss
1,0,1,4,5.035466194152832,0.08674979209899902
2,0,1,4,5.003933906555176,0.07109483331441879
3,0,2,3,4.881550312042236,0.02986110746860504
4,0,1,4,4.651686668395996,-0.025113850831985474
5,0,3,2,4.2291154861450195,-0.03688051179051399
6,0,3,2,3.840240478515625,-0.027092915028333664
7,0,3,2,3.367734432220459,-0.028517547994852066
8,0,3,2,2.875375270843506,-0.06609585136175156
9,0,3,2,2.524655342102051,-0.15642769634723663
10,0,4,1,2.1615495681762695,-0.28021395206451416
11,0,4,1,1.9651069641113281,-0.4378442168235779
12,0,4,1,1.75584077835083,-0.6046789884567261
13,0,4,1,1.471211552619934,-0.7666350603103638
14,0,4,1,1.375732183456421,-0.9500402212142944
15,0,4,1,1.1784014701843262,-1.1597620248794556
16,0,2,3,1.10011625289917,-1.368648648262024
17,0,2,3,0.9600549340248108,-1.5633717775344849
18,0,2,3,0.8348106145858765,-1.760555624961853
19,0,2,3,0.8181452751159668,-1.932268738746643
20,0,2,3,0.7599730491638184,-2.0963096618652344
21,0,2,3,0.5735526084899902,-2.2414755821228027
22,0,2,3,0.5277000665664673,-2.4078445434570312
23,0,1,4,0.48458531498908997,-2.6011769771575928
24,0,1,4,0.4879116415977478,-2.8069682121276855
25,0,1,4,0.38536402583122253,-2.9962716102600098
26,0,2,3,0.34146833419799805,-3.159064769744873
27,0,2,3,0.34450820088386536,-3.290724277496338
28,0,1,4,0.2705111801624298,-3.3874359130859375
29,0,1,4,0.23537832498550415,-3.5022823810577393
30,0,1,4,0.16663143038749695,-3.6045193672180176
31,0,1,4,0.14737209677696228,-3.714754581451416
32,0,2,3,0.12553036212921143,-3.8059439659118652
33,0,2,3,0.10363256931304932,-3.8609397411346436
34,0,2,3,0.11321624368429184,-3.9105091094970703
35,0,2,3,0.06983726471662521,-3.9262359142303467
36,0,1,4,0.06106168404221535,-3.936213731765747
37,0,1,4,0.07305437326431274,-3.9732983112335205
38,0,1,4,0.0736035704612732,-4.018980979919434
39,0,4,1,0.034750062972307205,-4.078623294830322
40,0,3,2,0.029400449246168137,-4.152056694030762
41,0,3,2,0.03004179522395134,-4.213376522064209
42,0,3,2,0.03391111642122269,-4.243561267852783
43,0,3,2,0.04998968914151192,-4.263530731201172
44,0,3,2,0.0204788725823164,-4.268030643463135
45,0,3,2,0.016733266413211823,-4.264237403869629
46,0,2,3,0.012565391138195992,-4.25131893157959
47,0,2,3,0.015350764617323875,-4.239016532897949
48,0,2,3,0.009807514026761055,-4.236476898193359
49,0,2,3,0.01718883216381073,-4.2497992515563965
50,0,2,3,0.009276535362005234,-4.265743255615234
51,0,3,2,0.008105702698230743,-4.2947587966918945
52,0,4,1,0.007400239817798138,-4.333876609802246
53,0,4,1,0.01797495037317276,-4.383997917175293
54,0,4,1,0.0067149000242352486,-4.437811851501465
55,0,4,1,0.006563149858266115,-4.490178108215332
56,0,4,1,0.006858190521597862,-4.531888484954834
57,0,4,1,0.005733800586313009,-4.5722832679748535
58,0,4,1,0.004171351436525583,-4.608283519744873
59,0,4,1,0.006320999003946781,-4.633484840393066
60,0,4,1,0.0037879273295402527,-4.656157493591309
61,0,4,1,0.011519195511937141,-4.65517520904541
62,0,4,1,0.003280634293332696,-4.655533790588379
63,0,4,1,0.004424910061061382,-4.655666351318359
64,0,4,1,0.0059499721974134445,-4.659372329711914
65,0,4,1,0.005071453750133514,-4.670147895812988
66,0,4,1,0.004288612864911556,-4.687528610229492
67,0,4,1,0.004565418232232332,-4.711030006408691
68,0,4,1,0.004351327661424875,-4.744173526763916
69,0,4,1,0.003236164338886738,-4.77849006652832
70,0,4,1,0.0030293590389192104,-4.814791202545166
71,0,4,1,0.0021334041375666857,-4.848596572875977
72,0,4,1,0.002679958939552307,-4.880901336669922
73,0,4,1,0.002403202001005411,-4.912264823913574
74,0,4,1,0.0028563428204506636,-4.939394474029541
75,0,4,1,0.0021258406341075897,-4.962523460388184
76,0,4,1,0.0020458861254155636,-4.983424186706543
77,0,4,1,0.0018100531306117773,-5.002429008483887
78,0,4,1,0.0026187666226178408,-5.018955230712891
79,0,4,1,0.003066231496632099,-5.030264377593994
80,0,4,1,0.0017268110532313585,-5.039862632751465
81,0,4,1,0.0021844925358891487,-5.047293663024902
82,0,4,1,0.0070768678560853004,-5.055174827575684
83,0,4,1,0.002060551196336746,-5.061771869659424
84,0,4,1,0.002058679237961769,-5.06774377822876
85,0,4,1,0.0017443470424041152,-5.073380470275879
86,0,4,1,0.0018884106539189816,-5.078821659088135
87,0,4,1,0.0015692210290580988,-5.084916114807129
88,0,4,1,0.0017490818863734603,-5.090561389923096
89,0,4,1,0.0017578790429979563,-5.096458435058594
90,0,4,1,0.0018081285525113344,-5.101742744445801
91,0,4,1,0.0016775567783042789,-5.106543064117432
92,0,4,1,0.0026439265348017216,-5.111297130584717
93,0,4,1,0.0015886530745774508,-5.11552095413208
94,0,4,1,0.002293412107974291,-5.119395732879639
95,0,4,1,0.0016369258519262075,-5.12265682220459
96,0,4,1,0.001657356508076191,-5.125207424163818
97,0,4,1,0.0013777457643300295,-5.127283096313477
98,0,4,1,0.0022185896523296833,-5.128687858581543
99,0,4,1,0.0015249025309458375,-5.129609107971191
100,0,4,1,0.0019909744150936604,-5.129988670349121
